Anyone can do that.	任何人都可以做到。
I am disgusted with him.	我厌恶他。
It is a pity that you cannot come to the party.	很遗憾您不能来派对。
You should quit smoking.	你应该戒烟。
What is learned in the cradle is carried to the tomb.	幼年时学的东西，一辈子不会忘记。
He's eating an apple.	他正吃着一个苹果。
She is always losing her handkerchief.	她老是弄丢她的手帕。
Please return the book by tomorrow.	请明天前还书。
I'm proud of you.	我以你为荣。
She spends her leisure time making dolls.	她利用空闲时间做布娃娃。
Many kinds of birds live in Japan.	许多种鸟类住在日本。
I wrote a letter to my mother.	我写了一封信给我的母亲。
You and I have the same idea.	你和我有相同的想法。
She should have been more careful.	她本来应该更小心的。
I hope everything goes well.	我希望万事如意。
I wish I could talk to you.	我希望能与你谈话。
I would rather not go there alone.	我宁可不要单独去那里。
You talk too much.	你说太多了。
You must keep your eyes open.	你得留意一下。
Nobody tried to help Tom.	没人试图帮汤姆。
You two should get married.	你们两个应该结婚。
Tom is probably pretty rich by now.	汤姆现在可能很有钱。
How many does he want?	他要多少?
Thank you for drawing a bird for me.	谢谢你为我画鸟。
I'm looking for a part-time job.	我正在找一份兼职的工作。
I can read German, but I can't speak it.	我能看懂德语，但不会说。
Something must be wrong with the machinery.	这个机器一定有什么地方不对劲。
I want beef, too.	"我也要牛肉。"
I'd rather stay than go.	我宁愿待在这里而不去。
I had a tennis match with him.	我曾与他的比赛网球。
He's a comedian.	他是喜剧演员。
India is a developing country.	印度是发展中国家。
He is old enough to drive.	他够开车的年纪了。
I arrived in London.	我到达伦敦了。
I saw five men.	我看到了五个男人。
I got up early in the morning.	我早上很早起床。
I hate chemistry.	我讨厌化学。
May I ask you some more questions?	我可以问你一些问题吗？
I don't understand.	不明白。
May I say something?	我可以说些什么吗?
What is this?	这是什么啊？
I am going to Hawaii next year.	我明年要去夏威夷。
Don't throw rocks into the river.	不要往河里扔石头。
I've had enough of your lying.	我听够你的谎话了。
We had an early lunch at school.	我们在学校有一个早午餐。
The road is too narrow for cars.	这条路太窄汽车无法通行。
I do not agree with you at all.	我完全不赞成你的意见。
Are you saying you don't want to go to Tom's party?	你的意思是你不想去汤姆的派对？
Tom knew when Mary would be arriving.	汤姆知道玛丽什么时候来。
Pride goes before a fall.	骄傲使人落后。
Why did you turn down his offer?	你为什么拒绝了他的提议？
Japan is a rich country.	日本是个富有的国家。
I can't stand that noise.	我不能忍受那个噪音。
You'd better go.	你最好走。
Turn off the TV.	关闭电视机
I don't want to work.	他不爱劳动。
I hope to see you.	我希望能见到你。
Tom got a late start this morning.	汤姆今早出发晚了。
He is not from Hokkaido.	他不是来自北海道。
What subjects are you taking at school?	你在学校里读哪些科目?
Get Tom.	找到汤姆。
What is the total amount of money you spent?	你一共花了多少钱？
He likes taking care of the garden.	他喜欢照顾花园。
Her red dress made her stand out.	她的红色礼服使她引人注目。
At last, she solved the problem.	最后，她解决了这个问题。
He made many excuses for being late.	他为迟到找了很多的借口。
Will you all be here tomorrow?	明天你一整天都会在这里吗?
She gives me a nasty look every time she sees me.	她每次看见我都给露出厌恶的眼神。
Close the door when you leave.	出去的时候把门关上。
They passed by her house yesterday.	他们昨天路过她家。
Excuse me, I'm lost.	不好意思，我迷路了。
This is what I can do for you.	这是我能为您做的。
We gladly accept your offer.	我们很高兴接受你的提议。
I want to drink something cold.	我想喝冷饮。
You look tired.	你看起来很疲倦。
I'll go shopping tomorrow.	我明天要去购物。
I would like to know her name.	我想知道她的名字。
My father has five siblings.	我父亲有五个兄弟姐妹。
She glanced briefly at the newspaper.	她很快地瞟了一眼报纸。
The parking lot is free of charge.	停车场是免费的。
I will pick you up around six.	我会在六点钟左右接你。
We don't have any other choice.	我们别无选择。
The sun rose over the horizon.	太阳升出了地平线。
Do you feel tired?	你觉得累吗？
A green carpet will not go with this blue curtain.	绿色的毯子和这条蓝色的帘子不配。
Maybe you'll succeed.	也许你会成功。
I feel very sorry for your sister.	我对你姐姐感到非常遗憾。
That red dress suited her.	那件红色的洋装适合她。
You need a car if you live in the suburbs.	要住在郊区的话，汽车是必需的。
How come you didn't say anything?	你为什么都不说话?
I meet him at the club.	我在俱乐部见到他。
Today was fun.	今天很有趣。
I don't know how to go there.	我不知道怎么去那儿。
Give us two knives and four forks, please.	请给我们两把刀和四把叉。
She made him a new suit.	她为他做了一套新衣服。
I want to see your older sister.	我想见你姐姐。
Her argument was not based on facts.	她的观点没有基于事实。
The cost of living has risen.	生活费升高了。
Don't show your face around here again.	你不要再出现在这里了。
I want you to stay here until I get back.	我想你待在这里直到我回来。
Do you know what I mean?	你知道我的意思吗？
The accident's only survivor was a baby.	这场灾难的唯一幸存者是一个婴儿。
It's just what I wanted.	我想要的就是这个。
How about playing chess tonight?	今晚下棋怎么样？
Actions speak louder than words.	行动胜于雄辩。
Tom is waiting for everyone to leave.	汤姆等着每个人都离开。
I don't mind hot weather.	我不在乎炎热的天气。
He is always losing his umbrella.	他总是搞丢了他的伞。
My birthday falls on Sunday.	我的生日在星期日。
He plays baseball every day.	他每天都打垒球。
Hokkaido is very far, isn't it?	北海道很远，不是吗？
She's neither rich nor famous.	她既没钱，也不出名。
I went skiing at Zao last winter.	我去年冬天去藏王滑雪。
Please show me the menu.	请给我菜单。
Give it to them.	把它给他们。
I can't stand this heat.	我受不了这么热。
Does this bus go to the beach?	这辆公交车去海滩吗？
Please show me around.	请带我到处看看。
Take as many peaches as you like.	你想拿多少桃子就拿多少。
I heard the song sung in French.	我听过这首歌的法语版。
She's absent because she's sick.	她不在是因为病了。
The problem was very difficult.	这个问题非常困难。
I live in this neighborhood.	我住在这附近。
You're a real friend.	你是个真正的朋友。
The robot went out of control.	这个机器人失控了。
If it happened to Tom, it could happen to you.	如果那发生在Tom身上，也可能会发生在你身上。
He goes to school on foot.	他步行上学。
I just talked to the person in charge.	我刚跟主管人谈过。
He's an excellent brain surgeon.	他是一个优秀的脑外科医生。
